position.lat,position.lng,Restaurants,Department Stores,Gyms,Cluster
17.71726,83.30497,20,20,10,2
17.72988,83.30007,20,20,11,2
17.7168,83.3049,20,20,9,2
17.71891,83.30788,20,20,12,1
17.71668,83.30551,20,20,9,2
17.7302,83.29796,20,20,9,2
17.71651,83.30553,20,20,9,2
17.73101,83.30038,20,20,11,2
17.71662,83.30618,20,20,9,2
17.73118,83.30054,20,20,11,2
17.71654,83.3064,20,20,9,2
17.73151,83.29939,20,20,9,2
17.7311,83.2976,20,20,7,0
17.7298,83.2951,20,17,8,0
17.73234,83.30108,20,20,11,2
17.71751,83.30902,20,20,11,2
17.73236,83.30275,20,20,10,1
17.71585,83.30744,20,20,9,2
17.7325,83.3013,20,20,12,2
17.72968,83.29412,20,17,7,0
17.72973,83.29393,20,17,7,0
17.72198,83.31131,20,20,14,2
17.73271,83.30022,20,20,10,2
17.73243,83.29852,20,20,8,2
17.71868,83.3103,20,20,13,2
17.72962,83.29369,20,16,7,0
17.72952,83.29354,20,15,7,0
17.7295,83.29348,20,15,7,0
17.72951,83.29345,20,15,7,0
17.73297,83.30074,20,20,10,2
17.733,83.3022,20,20,10,2
17.73297,83.30005,20,20,10,2
17.7326,83.29778,20,20,9,2
17.73011,83.29362,20,17,7,0
17.73324,83.30254,20,20,8,2
17.73258,83.29723,20,20,10,2
17.73184,83.29547,20,20,8,2
17.73271,83.29725,20,20,10,2
17.7327,83.29722,20,20,10,2
17.7329,83.29764,20,20,10,2
17.73115,83.29426,20,18,7,0
17.7302,83.2932,20,17,7,0
17.73291,83.29723,20,20,10,2
17.73352,83.30433,20,20,8,2
17.73322,83.29716,20,20,10,2
17.72919,83.29175,20,12,6,1
17.72912,83.29153,20,11,6,1
17.7302,83.2923,20,13,7,0
17.7328,83.2954,20,20,9,2
17.72899,83.29127,20,11,6,1
17.73339,83.30601,20,20,12,2
17.73377,83.305,20,20,10,2
17.73385,83.30497,20,20,10,2
17.7295,83.2911,20,11,6,1
17.73405,83.30559,20,20,9,2
17.72237,83.31409,20,20,12,2
17.734,83.3076,20,20,9,2
17.72197,83.31448,20,20,10,2
17.7351,83.30572,20,20,5,0
17.73233,83.29182,20,18,7,0
17.7355,83.30553,20,20,6,0
17.73566,83.30568,20,20,6,0
17.73549,83.30701,20,20,5,0
17.73622,83.306,20,20,6,0
17.7361,83.3065,20,20,5,0
17.72913,83.31571,20,20,7,0
17.7338,83.2896,20,7,4,1
17.71546,83.3154,20,20,8,2
17.73415,83.28948,20,7,3,1
17.73463,83.28973,20,8,3,1
17.71322,83.3152,20,20,7,0
17.71257,83.31503,20,20,6,0
17.71342,83.31578,20,19,7,0
17.71008,83.31394,20,10,4,1
17.71008,83.31464,20,11,4,1
17.73542,83.31601,20,19,6,0
17.71579,83.32281,20,14,5,0
17.71583,83.32427,20,9,4,1
17.71536,83.32431,20,10,4,1
17.71666,83.32481,20,9,4,1
17.72159,83.33487,20,8,2,2
17.72129,83.33496,20,8,2,1
17.7244,83.3367,20,9,8,1
17.74503,83.32981,20,10,5,1
17.7447,83.33374,20,14,1,0
17.72782,83.26084,8,1,1,1
17.73747,83.26109,20,8,6,1
17.74605,83.26396,20,5,5,2
17.74552,83.26282,20,8,6,2
17.7489,83.2647,20,5,5,2
17.7652,83.31277,20,4,6,2
17.7495,83.2648,20,5,5,1
17.74414,83.26087,20,9,8,2
17.74722,83.26279,20,6,5,2
17.74468,83.26112,20,10,6,2
17.74949,83.26307,20,5,5,1
17.75087,83.26382,20,5,4,1
17.74819,83.26129,20,6,4,1
17.7461,83.2599,20,10,6,1
17.74923,83.26184,20,6,4,1
13.08141,80.26786,20,20,10,0
13.0837,80.27662,20,14,19,1
13.08964,80.26789,20,20,11,0
13.08379,80.27683,20,14,20,1
13.08438,80.27695,20,15,20,1
13.08973,80.26739,20,20,11,0
13.09,80.26665,20,20,10,0
13.08998,80.26623,20,20,11,0
13.09097,80.26265,20,20,17,1
13.09162,80.26299,20,20,15,1
13.08875,80.25982,20,20,20,1
13.08801,80.25711,20,20,20,1
13.08872,80.25719,20,20,20,1
13.08803,80.25422,20,20,19,1
13.06627,80.27278,20,20,19,1
13.0663,80.27299,20,20,18,1
13.08767,80.25042,20,20,15,1
13.06357,80.2754,20,20,20,1
13.06305,80.27478,20,20,20,1
13.06246,80.26763,20,20,20,1
13.06284,80.2779,20,20,17,1
13.06083,80.27584,20,20,18,1
13.06259,80.25764,20,18,8,0
13.07225,80.24731,20,20,12,0
