,title,id,language,ontologyId,resultType,access,distance,categories,references,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.street,address.postalCode,position.lat,position.lng,contacts,chains,address.houseNumber,address.building
0,Mohammed Iqbal,here:pds:place:356jx7ps-3976a6bde3b4081a359b3041d86eaf96,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.36274, 'lng': 78.47886}]",547,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1137579668'}]","Mohammed Iqbal, Kali Kaman Road, Chow Mohalla, Pathergatti, Hyderabad 500002, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Pathergatti,Chow Mohalla,Kali Kaman Road,500002,17.36254,78.47879,,,,
1,Ali Syed Arif Tower,here:pds:place:356tepfc-9b1dc9df5b5b4f6783af8eae5f498521,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.36549, 'lng': 78.47684}]",615,"[{'id': '700-7400-0145', 'name': 'Real Estate Services', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}, {'id': '900-9300-0221', 'name': 'Residential Area/Building'}]",,"Ali Syed Arif Tower, Sharan Street, Mir Alam Mandi-Mir Chowk Area, Pathergatti, Hyderabad 500002, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Pathergatti,Mir Alam Mandi-Mir Chowk Area,Sharan Street,500002,17.3653,78.4771,,,,
2,Shiv Sharnkar Agarwal,here:pds:place:356jx7ps-499eba8dde0a05d8d3ae6dec8a0389d1,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.36531, 'lng': 78.46817}]",823,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1137579542'}]","Shiv Sharnkar Agarwal, Cross Road, Char Kaman-Shakkar Kotha, Ghansi Bazar, Hyderabad 500002, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Ghansi Bazar,Char Kaman-Shakkar Kotha,Cross Road,500002,17.36549,78.46825,,,,
3,Fatima Manzil,here:pds:place:356jx7ps-4d5dfd4858630580657682c2ab27b838,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.36317, 'lng': 78.46395}]",1092,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1136201976'}]","Fatima Manzil, Kabutar Khana, Hussani Alam, Hyderabad 500064, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Hussani Alam,Kabutar Khana,,500064,17.36316,78.46413,,,,
4,Amtul Salam Manzil,here:pds:place:356jx7ps-1746f0240f1d0554bcd2ba5bbd0fdcdc,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.36384, 'lng': 78.4646}]",1111,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1136201975'}]","Amtul Salam Manzil, Doodh Bowli Road, Kabutar Khana-Fatema Colony, Hussani Alam, Hyderabad 500064, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Hussani Alam,Kabutar Khana-Fatema Colony,Doodh Bowli Road,500064,17.36322,78.46396,,,,
5,Surjeet Nivas,here:pds:place:356jx7ps-03ac7597992b0f307ce660073a53e31e,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.3672, 'lng': 78.4646}]",1233,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1110685265'}]","Surjeet Nivas, Petal Burz, Ghansi Bazar, Hyderabad 500064, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Ghansi Bazar,Petal Burz,,500064,17.367,78.46458,,,,
6,Mirza Mazher Baig,here:pds:place:356jx7ps-a81d295465bf0bfaced649ad9e8b9816,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.36456, 'lng': 78.46336}]",1276,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1136202290'}]","Mirza Mazher Baig, Kabutar Khana-Fatema Colony, Hussani Alam, Hyderabad 500064, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Hussani Alam,Kabutar Khana-Fatema Colony,,500064,17.36362,78.46246,,,,
7,Ruby Residency,here:pds:place:356jx7ps-7825b477139601d255c9392e76769b85,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.37054, 'lng': 78.48386}]",1512,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1141589433'}]","Ruby Residency, Panjetan Colony, Malakpet, Hyderabad 500024, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Malakpet,Panjetan Colony,,500024,17.37059,78.48372,,,,
8,Shrurg Rushi Bahvan,here:pds:place:356tepfc-ececb13e6ccb48ba8239e856b56eaa6c,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.37602, 'lng': 78.47071}]",1754,"[{'id': '800-8100-0169', 'name': 'Civic/Community Center', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1100398786'}]","Shrurg Rushi Bahvan, Goshmahal Road, Feelkhana, Hyderabad 500012, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Feelkhana,,Goshmahal Road,500012,17.37604,78.47071,,,,
9,Mothi Ram Ashrai,here:pds:place:356jx7ps-9bce558636b404f9bab1dfe9ff409621,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 17.37294, 'lng': 78.46251}]",1838,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","[{'supplier': {'id': 'core'}, 'id': '1100392682'}]","Mothi Ram Ashrai, Jinsi Howrah Road, Dhoolpet-Lower Dhoolpet, Puranapool, Hyderabad 500006, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Puranapool,Dhoolpet-Lower Dhoolpet,Jinsi Howrah Road,500006,17.37293,78.46254,,,,
