,title,id,language,ontologyId,resultType,access,distance,categories,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.postalCode,address.houseNumber,position.lat,position.lng,references,address.street,contacts,openingHours
0,Hashim Ground,here:pds:place:356d408k-87c96d7d6a2600fcefe3c0ad5c4f7a7f,en,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.39318, 'lng': 78.45783}]",73,"[{'id': '800-8600-0191', 'name': 'Fitness/Health Club', 'primary': True}]","Hashim Ground, 11/3/824/3, New Mallepally, Mallepally, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Mallepally,New Mallepally,500001,11/3/824/3,17.39326,78.45777,,,,
1,Atlas Gym,here:pds:place:356tepfc-a1032027c48d47a6ade868985a761c58,en-GB,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.3917, 'lng': 78.45787}]",139,"[{'id': '800-8600-0191', 'name': 'Fitness/Health Club', 'primary': True}, {'id': '800-8600-0000', 'name': 'Sports Facility/Venue'}]","Atlas Gym, Mallepally Circle, New Mallepally-Mozampura, Mallepally, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Mallepally,New Mallepally-Mozampura,500001,,17.39184,78.45789,"[{'supplier': {'id': 'core'}, 'id': '1220432436'}]",Mallepally Circle,,
2,Body Wonder Gym,here:pds:place:356tepfc-43463c22e7034eb1b3863ca0ca72535c,en-GB,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.39528, 'lng': 78.45687}]",244,"[{'id': '800-8600-0191', 'name': 'Fitness/Health Club', 'primary': True}]","Body Wonder Gym, Vijay Nagar Colony Road, Syed Azam Colony, Vijaynagar Colony, Hyderabad 500057, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Vijaynagar Colony,Syed Azam Colony,500057,,17.39507,78.45683,"[{'supplier': {'id': 'core'}, 'id': '1110405790'}]",Vijay Nagar Colony Road,[{'phone': [{'value': '+914023343050'}]}],
3,Fit Axis,here:pds:place:356jx7ps-dadc0680c6990e572a8fb6ee2764c3a0,en-GB,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.39529, 'lng': 78.45499}]",362,"[{'id': '800-8600-0191', 'name': 'Fitness/Health Club', 'primary': True}]","Fit Axis, Vijay Nagar Colony Road, Aphb Colony, Vijaynagar Colony, Hyderabad 500057, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Vijaynagar Colony,Aphb Colony,500057,,17.39538,78.45499,"[{'supplier': {'id': 'core'}, 'id': '1110407211'}]",Vijay Nagar Colony Road,[{'mobile': [{'value': '+919347777279'}]}],
4,Atlas Gym,here:pds:place:356tepfc-46a86a7941e447daaf547837ec565fc7,en,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.39669, 'lng': 78.45477}]",509,"[{'id': '800-8600-0191', 'name': 'Fitness/Health Club', 'primary': True}]","Atlas Gym, Shanthi Nagar, Masab Tank, Hyderabad 500057, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Masab Tank,Shanthi Nagar,500057,,17.39682,78.45473,,,[{'phone': [{'value': '+914023347397'}]}],
5,Horse Power4 Gym,here:pds:place:356tepfc-18f03a1f59f4457a9c5f9ff29ad26b7d,en-GB,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.39471, 'lng': 78.45261}]",516,"[{'id': '800-8600-0000', 'name': 'Sports Facility/Venue', 'primary': True}, {'id': '800-8600-0191', 'name': 'Fitness/Health Club'}]","Horse Power4 Gym, Andhra Bank X Road, SBH Colony, Vijaynagar Colony, Hyderabad 500057, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Vijaynagar Colony,SBH Colony,500057,,17.39456,78.45266,"[{'supplier': {'id': 'core'}, 'id': '1231690734'}]",Andhra Bank X Road,,
6,Horse Power 3 Gym,here:pds:place:356tepfc-9da0d0c6b0954db5918653a40d32e74d,en,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.3969, 'lng': 78.45998}]",528,"[{'id': '800-8600-0000', 'name': 'Sports Facility/Venue', 'primary': True}, {'id': '800-8600-0191', 'name': 'Fitness/Health Club'}]","Horse Power 3 Gym, A C Guard Road, Chintal Basti-Ac Guards, Khairatabad, Hyderabad 500004, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Khairatabad,Chintal Basti-Ac Guards,500004,,17.3969,78.45988,,A C Guard Road,,
7,Hp3 Gym,here:pds:place:356tepfc-06b8853da2ed40a9b1b814d053e94dfd,en-GB,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.39694, 'lng': 78.45998}]",530,"[{'id': '800-8600-0191', 'name': 'Fitness/Health Club', 'primary': True}]","Hp3 Gym, Ac Guard Road, Chintal Basti-Ac Guards, Khairatabad, Hyderabad 500004, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Khairatabad,Chintal Basti-Ac Guards,500004,,17.39694,78.45985,"[{'supplier': {'id': 'core'}, 'id': '1214149664'}]",Ac Guard Road,[{'mobile': [{'value': '+919885021494'}]}],
8,Hp3 Gym,here:pds:place:356tepfc-07b0dc35b7c14674a81528adc57a858a,en,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.3969, 'lng': 78.45998}]",533,"[{'id': '800-8600-0191', 'name': 'Fitness/Health Club', 'primary': True}]","Hp3 Gym, A C Guard Road, Chintal Basti-Ac Guards, Khairatabad, Hyderabad 500004, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Khairatabad,Chintal Basti-Ac Guards,500004,,17.3969,78.45997,,A C Guard Road,[{'mobile': [{'value': '+919885021494'}]}],
9,Unisex Ac Gym,here:pds:place:356tepfc-e81b2aafb3d74c0fbb9be2524539d1f2,en-GB,here:cm:ontology:fitness_health_club,place,"[{'lat': 17.39462, 'lng': 78.45226}]",563,"[{'id': '800-8600-0000', 'name': 'Sports Facility/Venue', 'primary': True}, {'id': '800-8600-0191', 'name': 'Fitness/Health Club'}]","Unisex Ac Gym, Vijay Nagar Colony Road, Aphb Colony, Vijaynagar Colony, Hyderabad 500057, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Vijaynagar Colony,Aphb Colony,500057,,17.39471,78.45224,"[{'supplier': {'id': 'core'}, 'id': '1218486429'}]",Vijay Nagar Colony Road,,
