,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.address,venue.location.crossStreet,venue.location.postalCode,venue.venuePage.id,venue.location.neighborhood
0,e-0-4da53ba4fa8cf9bcc87a5c2c-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4da53ba4fa8cf9bcc87a5c2c,Laxman Ki Bandi,17.378894588428974,78.46397328339408,"[{'label': 'display', 'lat': 17.378894588428974, 'lng': 78.46397328339408}]",1143,IN,Hyderabad,Telangana,India,"['Hyderabad', 'Telangana', 'India']","[{'id': '54135bf5e4b08f3d2429dfde', 'name': 'South Indian Restaurant', 'pluralName': 'South Indian Restaurants', 'shortName': 'South Indian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,
1,e-0-4d5fadf029ef236a85a09b59-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4d5fadf029ef236a85a09b59,Cafe Niloufer & Bakers,17.399714984098786,78.46288084900512,"[{'label': 'display', 'lat': 17.399714984098786, 'lng': 78.46288084900512}]",1231,IN,Hyderabad,Telangana,India,"['Red Hills Rd, Opp Hanuman Temple (Lakdikapul)', 'Hyderabad 500004', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",0,[],"Red Hills Rd, Opp Hanuman Temple",Lakdikapul,500004,175832303,
2,e-0-4c08f54f6071a5934901dd32-2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c08f54f6071a5934901dd32,Nizam club,17.403220921129257,78.46872909732845,"[{'label': 'display', 'lat': 17.403220921129257, 'lng': 78.46872909732845}]",1801,IN,Hyderabad,Telangana,India,"['Saifabad (Opp public garden)', 'Hyderabad 500004', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d121941735', 'name': 'Lounge', 'pluralName': 'Lounges', 'shortName': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}, 'primary': True}]",0,[],Saifabad,Opp public garden,500004,,
3,e-0-4cc19bfb67a3b1f77a8dc90e-3,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4cc19bfb67a3b1f77a8dc90e,Chowmahala Palace,17.359299743829105,78.47161740649624,"[{'label': 'display', 'lat': 17.359299743829105, 'lng': 78.47161740649624}]",3468,IN,Hyderabad,Telangana,India,"['Moti Gali, Charminar', 'Hyderabad', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d190941735', 'name': 'History Museum', 'pluralName': 'History Museums', 'shortName': 'History Museum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_', 'suffix': '.png'}, 'primary': True}]",0,[],"Moti Gali, Charminar",,,,
4,e-0-4cdd08d4fc973704fe47d905-4,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4cdd08d4fc973704fe47d905,Mayur Pan Shop,17.388893979984353,78.48057795543552,"[{'label': 'display', 'lat': 17.388893979984353, 'lng': 78.48057795543552}]",2072,IN,Hyderabad,Telangana,India,"['Hanuman Tekdi Rd.', 'Hyderabad', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d112941735', 'name': 'Juice Bar', 'pluralName': 'Juice Bars', 'shortName': 'Juice Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/juicebar_', 'suffix': '.png'}, 'primary': True}]",0,[],Hanuman Tekdi Rd.,,,,
5,e-0-4c642d01eb82d13a1fa809d6-5,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c642d01eb82d13a1fa809d6,Shadaab,17.368661119712183,78.4755724156713,"[{'label': 'display', 'lat': 17.368661119712183, 'lng': 78.4755724156713}]",2719,IN,Hyderabad,Telangana,India,"['Hyderabad', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d147941735', 'name': 'Diner', 'pluralName': 'Diners', 'shortName': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,
6,e-0-50eaed9ae4b0c5df42f9ea9b-6,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",50eaed9ae4b0c5df42f9ea9b,Siraj's International Juice Center,17.395579239983725,78.44270096891786,"[{'label': 'display', 'lat': 17.395579239983725, 'lng': 78.44270096891786}]",2092,IN,Hyderabad,Telangana,India,"['Mehdipatnam (Opp. Humayun Nagar Police Station)', 'Hyderabad', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d112941735', 'name': 'Juice Bar', 'pluralName': 'Juice Bars', 'shortName': 'Juice Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/juicebar_', 'suffix': '.png'}, 'primary': True}]",0,[],Mehdipatnam,Opp. Humayun Nagar Police Station,,,
7,e-0-4df9c65c62e1e9a24367f9e5-7,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4df9c65c62e1e9a24367f9e5,King & Cardinal,17.40067830505242,78.48857489055783,"[{'label': 'display', 'lat': 17.40067830505242, 'lng': 78.48857489055783}]",3208,IN,Hyderabad,Telangana,India,"['Himayatnagar (Narayanguda-himayat Nagar X Roads)', 'Hyderabad 500029', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d16c941735', 'name': 'Burger Joint', 'pluralName': 'Burger Joints', 'shortName': 'Burgers', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}, 'primary': True}]",0,[],Himayatnagar,Narayanguda-himayat Nagar X Roads,500029,,
8,e-0-4dc4a65e18506de4adc5d5e5-8,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4dc4a65e18506de4adc5d5e5,Pragati,17.38808781386729,78.48113363131787,"[{'label': 'display', 'lat': 17.38808781386729, 'lng': 78.48113363131787}]",2133,IN,Hyderabad,Telangana,India,"['Kandaswamy Lane, Sultan Bazaar, Koti Andhra Pradesh, India', 'Hyderabad', 'Telangana', 'India']","[{'id': '54135bf5e4b08f3d2429dfde', 'name': 'South Indian Restaurant', 'pluralName': 'South Indian Restaurants', 'shortName': 'South Indian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",0,[],"Kandaswamy Lane, Sultan Bazaar, Koti Andhra Pradesh, India",,,,
9,e-0-4bdae2dac4e5952110c36a08-9,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4bdae2dac4e5952110c36a08,Lamakaan,17.42101717782916,78.44747414471229,"[{'label': 'display', 'lat': 17.42101717782916, 'lng': 78.44747414471229}]",3867,IN,Hyderabad,Telangana,India,"['Next to C Bay, Banjara Hills (Rd No 1)', 'Hyderabad', 'Telangana', 'India']","[{'id': '4bf58dd8d48988d1f2931735', 'name': 'Performing Arts Venue', 'pluralName': 'Performing Arts Venues', 'shortName': 'Performing Arts', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_', 'suffix': '.png'}, 'primary': True}]",0,[],"Next to C Bay, Banjara Hills",Rd No 1,,,
