,title,id,language,ontologyId,resultType,access,distance,categories,references,foodTypes,contacts,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.street,address.postalCode,position.lat,position.lng,openingHours
0,Zoha Restaurant,here:pds:place:356tepfc-e971ce8c65ea4571bd310d2df4d3bc71,en-GB,here:cm:ontology:restaurant,place,"[{'lat': 17.39319, 'lng': 78.45712}]",22,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'core'}, 'id': '1180035748'}]","[{'id': '202-025', 'name': 'Indian - Hyderabadi', 'primary': True}]",[{'phone': [{'value': '+914064619486'}]}],"Zoha Restaurant, Glory Theatre Road, New Mallepally, Mallepally, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Mallepally,New Mallepally,Glory Theatre Road,500001,17.3931,78.4572,
1,Nawabs Darbar Restaurant,here:pds:place:356tepfc-8d7d3d66df8b409fb2da6d92490fcac6,en,here:cm:ontology:restaurant,place,"[{'lat': 17.39322, 'lng': 78.45716}]",46,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]",,"[{'id': '202-000', 'name': 'Indian', 'primary': True}]",,"Nawabs Darbar Restaurant, Glory Theatre Road, Syed Azam Colony, Vijaynagar Colony, Hyderabad 500057, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Vijaynagar Colony,Syed Azam Colony,Glory Theatre Road,500057,17.3933,78.4571,
2,Laham Arabian Mandi,here:pds:place:356tepfc-5cc7457164204e5a8b043e663c858194,en,here:cm:ontology:restaurant,place,"[{'lat': 17.39322, 'lng': 78.45716}]",46,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'core'}, 'id': '1222482967'}]","[{'id': '250-000', 'name': 'Middle Eastern', 'primary': True}]",,"Laham Arabian Mandi, Glory Theatre Road, Syed Azam Colony, Vijaynagar Colony, Hyderabad 500057, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Vijaynagar Colony,Syed Azam Colony,Glory Theatre Road,500057,17.3933,78.4571,
3,Riyaj Muslim Hotel,here:pds:place:356jx7ps-5e6ba22719c40154215712f6ea597d2f,en-GB,here:cm:ontology:restaurant,place,"[{'lat': 17.39322, 'lng': 78.45716}]",46,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'core'}, 'id': '1099433495'}]","[{'id': '202-014', 'name': 'Indian - Mughlai', 'primary': True}, {'id': '202-000', 'name': 'Indian'}, {'id': '202-021', 'name': 'Indian - South Indian'}]","[{'phone': [{'value': '+919908832122'}], 'mobile': [{'value': '+918919697635'}, {'value': '+919885775707'}, {'value': '+919908832122'}]}]","Riyaj Muslim Hotel, Glory Theatre Road, Syed Azam Colony, Vijaynagar Colony, Hyderabad 500057, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Vijaynagar Colony,Syed Azam Colony,Glory Theatre Road,500057,17.3933,78.4571,"[{'text': ['Mon-Sun: 00:00 - 02:00, 06:00 - 23:59'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT02H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}, {'start': 'T060000', 'duration': 'PT17H59M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
4,Milan Juice Centre,here:pds:place:356tepfc-727d0643719d4027bc36199c9922f59b,en-GB,here:cm:ontology:restaurant,place,"[{'lat': 17.39251, 'lng': 78.45752}]",55,"[{'id': '600-6900-0096', 'name': 'Specialty Store', 'primary': True}, {'id': '100-1000-0000', 'name': 'Restaurant'}]","[{'supplier': {'id': 'core'}, 'id': '1180035434'}, {'supplier': {'id': 'tripadvisor'}, 'id': '8111335'}]","[{'id': '304-000', 'name': 'Italian', 'primary': True}, {'id': '202-023', 'name': 'Indian - North Indian'}, {'id': '800-058', 'name': 'Snacks & Beverages'}]","[{'mobile': [{'value': '+918520063222'}, {'value': '+918686362712'}]}]","Milan Juice Centre, Shan Talkies Road, New Mallepally-Mozampura, Mallepally, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Mallepally,New Mallepally-Mozampura,Shan Talkies Road,500001,17.39247,78.45746,"[{'categories': [{'id': '100-1000-0000'}], 'text': ['Mon-Sun: 00:00 - 01:00, 10:00 - 23:59'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT01H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}, {'start': 'T100000', 'duration': 'PT13H59M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
5,Arabian Palace,here:pds:place:356tepfc-3366e3bea42541f99c26ee1d504b3a1a,en,here:cm:ontology:restaurant,place,"[{'lat': 17.39248, 'lng': 78.45754}]",64,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]",,"[{'id': '250-000', 'name': 'Middle Eastern', 'primary': True}]","[{'phone': [{'value': '+917799180224'}], 'mobile': [{'value': '+919177435640'}]}]","Arabian Palace, Al Saba Hotel Road, New Mallepally-Mozampura, Mallepally, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Mallepally,New Mallepally-Mozampura,Al Saba Hotel Road,500001,17.39241,78.45752,"[{'text': ['Mon-Sun: 00:00 - 01:00, 13:00 - 23:59'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT01H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}, {'start': 'T130000', 'duration': 'PT10H59M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
6,Faraz Hotel,here:pds:place:356jx7ps-1218a9c5279a07777597508ad46eff36,en-GB,here:cm:ontology:restaurant,place,"[{'lat': 17.39228, 'lng': 78.45794}]",99,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'core'}, 'id': '1099976899'}]","[{'id': '202-000', 'name': 'Indian', 'primary': True}, {'id': '202-021', 'name': 'Indian - South Indian'}]",[{'mobile': [{'value': '+919985614418'}]}],"Faraz Hotel, Masjid Circle, New Mallepally, Mallepally, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Mallepally,New Mallepally,Masjid Circle,500001,17.3924,78.45797,
7,The Quality Shawarma,here:pds:place:356tepfc-aeabf27269d84d15918a7cba68db1c6e,en,here:cm:ontology:restaurant,place,"[{'lat': 17.39181, 'lng': 78.45764}]",129,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]",,"[{'id': '252-000', 'name': 'Turkish', 'primary': True}]",[{'phone': [{'value': '+918991353440'}]}],"The Quality Shawarma, Masjid Circle, New Mallepally-Mozampura, Mallepally, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Mallepally,New Mallepally-Mozampura,Masjid Circle,500001,17.39183,78.45767,
8,Zizus,here:pds:place:356tepfc-1e4b683866f14c50b8d6e6418a66601c,en,here:cm:ontology:restaurant,place,"[{'lat': 17.39244, 'lng': 78.45835}]",129,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]",,"[{'id': '202-000', 'name': 'Indian', 'primary': True}]",,"Zizus, New Mallepally, Mallepally, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Mallepally,New Mallepally,,500001,17.3924,78.4583,
9,Pathan Darbar,here:pds:place:356tepfc-83d61de04c8f49adbbd79179d6984fa3,en-GB,here:cm:ontology:restaurant,place,"[{'lat': 17.39171, 'lng': 78.45778}]",142,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'core'}, 'id': '1231708410'}]","[{'id': '202-000', 'name': 'Indian', 'primary': True}]",,"Pathan Darbar, Masjid Circle, New Mallepally-Mozampura, Mallepally, Hyderabad 500001, India",IND,India,TS,Telangana,Hyderabad,Hyderabad,Mallepally,New Mallepally-Mozampura,Masjid Circle,500001,17.39175,78.45778,
